2026-04-07 18:08:55,891 | INFO | Starting universal document tagging...
2026-04-07 18:08:55,932 | INFO | ✅ Tagging completed!
2026-04-07 18:08:55,932 | INFO |    Documents processed : 3
2026-04-07 18:08:55,932 | INFO |    Skipped due to errors: 0
2026-04-07 18:08:55,933 | INFO |    Output → /home/darwin/PRES/Executive/central_inventory.csv
2026-04-07 18:08:55,933 | INFO |    Next step: python3 chunk_documents.py
2026-04-07 18:11:48,668 | INFO | Found 438 PDFs in central /home/darwin/PRES/Executive/data/raw
2026-04-07 18:11:48,764 | INFO | Processed 50 documents...
2026-04-07 18:11:48,852 | INFO | Processed 100 documents...
2026-04-07 18:11:48,911 | INFO | Processed 150 documents...
2026-04-07 18:11:48,969 | INFO | Processed 200 documents...
2026-04-07 18:11:49,016 | INFO | Processed 250 documents...
2026-04-07 18:11:49,055 | INFO | Processed 300 documents...
2026-04-07 18:11:49,083 | INFO | Processed 350 documents...
2026-04-07 18:11:49,114 | INFO | Processed 400 documents...
2026-04-07 18:11:49,147 | INFO | ✅ Tagging completed!
2026-04-07 18:11:49,148 | INFO |    Documents processed : 438
2026-04-07 18:11:49,148 | INFO |    Skipped : 0
2026-04-07 18:11:49,148 | INFO |    Output → /home/darwin/PRES/Executive/central_inventory.csv
2026-04-07 18:11:49,149 | INFO |    Next: Proceed to chunk_documents.py
2026-04-07 22:18:03,358 | INFO | Found 438 PDFs in central /home/darwin/PRES/Executive/data/raw
2026-04-07 22:18:03,468 | INFO | Processed 50 documents...
2026-04-07 22:18:03,527 | INFO | Processed 100 documents...
2026-04-07 22:18:03,577 | INFO | Processed 150 documents...
2026-04-07 22:18:03,653 | INFO | Processed 200 documents...
2026-04-07 22:18:03,719 | INFO | Processed 250 documents...
2026-04-07 22:18:03,766 | INFO | Processed 300 documents...
2026-04-07 22:18:03,801 | INFO | Processed 350 documents...
2026-04-07 22:18:03,836 | INFO | Processed 400 documents...
2026-04-07 22:18:03,872 | INFO | ✅ Tagging completed!
2026-04-07 22:18:03,873 | INFO |    Documents processed : 438
2026-04-07 22:18:03,873 | INFO |    Skipped : 0
2026-04-07 22:18:03,873 | INFO |    Output → /home/darwin/PRES/Executive/central_inventory.csv
2026-04-07 22:18:03,873 | INFO |    Next: Proceed to chunk_documents.py
2026-04-07 23:25:14,892 | INFO | Found 438 PDFs in central /home/darwin/PRES/Executive/data/raw
2026-04-07 23:25:14,977 | INFO | Processed 50 documents...
2026-04-07 23:25:15,032 | INFO | Processed 100 documents...
2026-04-07 23:25:15,081 | INFO | Processed 150 documents...
2026-04-07 23:25:15,128 | INFO | Processed 200 documents...
2026-04-07 23:25:15,168 | INFO | Processed 250 documents...
2026-04-07 23:25:15,197 | INFO | Processed 300 documents...
2026-04-07 23:25:15,222 | INFO | Processed 350 documents...
2026-04-07 23:25:15,251 | INFO | Processed 400 documents...
2026-04-07 23:25:15,313 | INFO | ✅ Tagging completed!
2026-04-07 23:25:15,313 | INFO |    Documents processed : 438
2026-04-07 23:25:15,313 | INFO |    Skipped : 0
2026-04-07 23:25:15,314 | INFO |    Output → /home/darwin/PRES/Executive/central_inventory.csv
2026-04-07 23:25:15,314 | INFO |    Next: Proceed to chunk_documents.py
2026-04-07 23:26:10,426 | INFO | Found 438 PDFs in central /home/darwin/PRES/Executive/data/raw
2026-04-07 23:26:10,488 | INFO | Processed 50 documents...
2026-04-07 23:26:10,543 | INFO | Processed 100 documents...
2026-04-07 23:26:10,590 | INFO | Processed 150 documents...
2026-04-07 23:26:10,647 | INFO | Processed 200 documents...
2026-04-07 23:26:10,703 | INFO | Processed 250 documents...
2026-04-07 23:26:10,736 | INFO | Processed 300 documents...
2026-04-07 23:26:10,761 | INFO | Processed 350 documents...
2026-04-07 23:26:10,800 | INFO | Processed 400 documents...
2026-04-07 23:26:10,887 | INFO | ✅ Tagging completed!
2026-04-07 23:26:10,887 | INFO |    Documents processed : 438
2026-04-07 23:26:10,887 | INFO |    Skipped : 0
2026-04-07 23:26:10,888 | INFO |    Output → /home/darwin/PRES/Executive/central_inventory.csv
2026-04-07 23:26:10,888 | INFO |    Next: Proceed to chunk_documents.py
